ID,Category,Question,Option1,Option2,Option3,Option4,Answer,Hint
q_56,"SDLC","Which of the following is a phase in the Systems Development Life Cycle?","Data Entry","Requirement Identification","Gaming","Printing","Requirement Identification","It is a step in building software."
q_57,"Legal/Ethical","Which Act in Sri Lanka governs aspects of ICT?","Traffic Act","Electronic Transactions Act","Housing Act","Forest Act","Electronic Transactions Act","Look for Computer/Electronic/Intellectual Property laws."
q_58,"Legal/Ethical","Which Act in Sri Lanka governs aspects of ICT?","Traffic Act","Computer Crimes Act No. 24 of 2007","Housing Act","Forest Act","Computer Crimes Act No. 24 of 2007","Look for Computer/Electronic/Intellectual Property laws."
q_59,"ICT Applications","Which of the following is a common application of ICT in modern society?","E-Government","Binary Logic","CPU Architecture","Pascal Syntax","E-Government","Think about how technology helps society."
q_60,"Programming (Pascal)","Which of the following is a reserved keyword in Pascal?","WiFi","System32","Login","Repeat..Until","Repeat..Until","It is part of Pascal language keywords."
q_61,"Hardware","Which generation of computers is associated with Microprocessors (4th Gen)?","Transistors (2nd Gen)","Vacuum Tubes (1st Gen)","Integrated Circuits (3rd Gen)","Microprocessors (4th Gen)","Microprocessors (4th Gen)","Input devices send data INTO the computer."
q_62,"Logic Gates","Which logic gate performs a Boolean logic operation?","USB","SSD","NOR","BIOS","NOR","Logic gates operate on TRUE/FALSE values."
q_63,"Hardware","Which generation of computers is associated with Integrated Circuits (3rd Gen)?","Integrated Circuits (3rd Gen)","Microprocessors (4th Gen)","Vacuum Tubes (1st Gen)","Transistors (2nd Gen)","Integrated Circuits (3rd Gen)","Input devices send data INTO the computer."
q_64,"Programming (Pascal)","Which of the following is a reserved keyword in Pascal?","Login","Var","WiFi","System32","Var","It is part of Pascal language keywords."
q_65,"Operating Systems","Which utility software is essential for system maintenance?","Disk Formatting","Chrome","MS Word","Photoshop","Disk Formatting","Think about managing resources and maintenance."
q_66,"Legal/Ethical","Which Act in Sri Lanka governs aspects of ICT?","Housing Act","Traffic Act","Electronic Transactions Act","Forest Act","Electronic Transactions Act","Look for Computer/Electronic/Intellectual Property laws."
q_67,"Logic Gates","Which logic gate performs a Boolean logic operation?","BIOS","NOT","USB","SSD","NOT","Logic gates operate on TRUE/FALSE values."
q_68,"Data Representation","Which storage unit is valid and commonly used?","Hertz","Pixel","Volt","Gigabyte (GB)","Gigabyte (GB)","Think about file sizes (KB, MB, GB)."
q_69,"Data Representation","Which storage unit is valid and commonly used?","Hertz","Volt","Megabyte (MB)","Pixel","Megabyte (MB)","Think about file sizes (KB, MB, GB)."
q_70,"Web Development","Which HTML tag is used to define a large heading?","{code}","<invalid>","[link]","<h1>","<h1>","HTML tags start with < and end with >."
q_71,"Data Representation","Which storage unit is valid and commonly used?","Hertz","Gigabyte (GB)","Volt","Pixel","Gigabyte (GB)","Think about file sizes (KB, MB, GB)."
q_72,"Legal/Ethical","Which Act in Sri Lanka governs aspects of ICT?","Traffic Act","Forest Act","Electronic Transactions Act","Housing Act","Electronic Transactions Act","Look for Computer/Electronic/Intellectual Property laws."
q_73,"Web Development","Which HTML tag is used to embed an image?","<invalid>","[link]","{code}","<img>","<img>","HTML tags start with < and end with >."
q_74,"Programming (Pascal)","In Pascal syntax, which word has a special meaning?","Var","WiFi","System32","Login","Var","It is part of Pascal language keywords."
q_75,"Databases","In a database, what does the term 'Primary Key' refer to?","A hardware port","A web browser","A database structural element","A network protocol","A database structural element","Tables, records, keys and queries are database elements."
q_76,"SDLC","Which of the following is a phase in the Systems Development Life Cycle?","Printing","Gaming","Data Entry","Implementation/Coding","Implementation/Coding","It is a step in building software."
q_77,"Legal/Ethical","Which Act in Sri Lanka governs aspects of ICT?","Traffic Act","Forest Act","Housing Act","Electronic Transactions Act","Electronic Transactions Act","Look for Computer/Electronic/Intellectual Property laws."
q_78,"Operating Systems","What is a primary function of an Operating System?","Emailing","File Management","Web Browsing","Photo Editing","File Management","Think about managing resources and maintenance."
q_79,"Networking","Which term is related to computer networking?","Keyboard","Monitor","DNS","Printer","DNS","It relates to connectivity or web addresses."
q_80,"Legal/Ethical","Which Act in Sri Lanka governs aspects of ICT?","Computer Crimes Act No. 24 of 2007","Forest Act","Traffic Act","Housing Act","Computer Crimes Act No. 24 of 2007","Look for Computer/Electronic/Intellectual Property laws."
q_81,"ICT Applications","Which of the following is a common application of ICT in modern society?","Pascal Syntax","CPU Architecture","E-Government","Binary Logic","E-Government","Think about how technology helps society."
q_82,"SDLC","Which of the following is a phase in the Systems Development Life Cycle?","Printing","Implementation/Coding","Gaming","Data Entry","Implementation/Coding","It is a step in building software."
q_83,"ICT Applications","The term 'E-Government' is associated with which field?","Networking","Logic Gates","Data Representation","ICT Applications","ICT Applications","Think about how technology helps society."
q_84,"Networking","Which term is related to computer networking?","Printer","Monitor","Keyboard","IP Address","IP Address","It relates to connectivity or web addresses."
q_85,"Networking","Which term is related to computer networking?","Monitor","Keyboard","Printer","IP Address","IP Address","It relates to connectivity or web addresses."
q_86,"Legal/Ethical","Which Act in Sri Lanka governs aspects of ICT?","Computer Crimes Act No. 24 of 2007","Forest Act","Traffic Act","Housing Act","Computer Crimes Act No. 24 of 2007","Look for Computer/Electronic/Intellectual Property laws."
q_87,"Programming (Pascal)","Which of the following is a reserved keyword in Pascal?","WiFi","If..Then","Login","System32","If..Then","It is part of Pascal language keywords."
q_88,"Legal/Ethical","Which Act in Sri Lanka governs aspects of ICT?","Traffic Act","Housing Act","Intellectual Property Act","Forest Act","Intellectual Property Act","Look for Computer/Electronic/Intellectual Property laws."
q_89,"Logic Gates","Which logic gate performs a Boolean logic operation?","NAND","SSD","BIOS","USB","NAND","Logic gates operate on TRUE/FALSE values."
q_90,"Programming (Pascal)","Which of the following is a reserved keyword in Pascal?","System32","For..Do","WiFi","Login","For..Do","It is part of Pascal language keywords."
q_91,"Programming (Pascal)","Identify the valid Pascal keyword from the options:","System32","WiFi","Login","Var","Var","It is part of Pascal language keywords."
q_92,"Web Development","Which HTML tag is used to define the document body?","<body>","<invalid>","{code}","[link]","<body>","HTML tags start with < and end with >."
q_93,"ICT Applications","The term 'ATM' is associated with which field?","ICT Applications","Data Representation","Networking","Logic Gates","ICT Applications","Think about how technology helps society."
q_94,"Web Development","Which HTML tag is used to define the root of an HTML document?","{code}","[link]","<html>","<invalid>","<html>","HTML tags start with < and end with >."
q_95,"Hardware","Select the device used to send data INTO the computer:","Plotter","Speaker","Inkjet Printer","Scanner","Scanner","Input devices send data INTO the computer."
q_96,"SDLC","Which of the following is a phase in the Systems Development Life Cycle?","Gaming","System Design","Printing","Data Entry","System Design","It is a step in building software."
q_97,"SDLC","Which of the following is a phase in the Systems Development Life Cycle?","Gaming","Data Entry","Deployment","Printing","Deployment","It is a step in building software."
q_98,"SDLC","Which of the following is a phase in the Systems Development Life Cycle?","Deployment","Data Entry","Gaming","Printing","Deployment","It is a step in building software."
q_99,"SDLC","Which of the following is a phase in the Systems Development Life Cycle?","Printing","Maintenance","Gaming","Data Entry","Maintenance","It is a step in building software."
q_100,"Operating Systems","Which utility software is essential for system maintenance?","MS Word","Antivirus","Chrome","Photoshop","Antivirus","Think about managing resources and maintenance."
q_101,"Logic Gates","Which logic gate performs a Boolean logic operation?","NOR","USB","SSD","BIOS","NOR","Logic gates operate on TRUE/FALSE values."
q_102,"ICT Applications","Which of the following is a common application of ICT in modern society?","E-Learning","Pascal Syntax","CPU Architecture","Binary Logic","E-Learning","Think about how technology helps society."
q_103,"ICT Applications","Which of the following is a common application of ICT in modern society?","Pascal Syntax","CPU Architecture","Binary Logic","Robotics in Industry","Robotics in Industry","Think about how technology helps society."
q_104,"Web Development","Which HTML tag is used to define a large heading?","<invalid>","[link]","<h1>","{code}","<h1>","HTML tags start with < and end with >."
q_105,"Operating Systems","Which utility software is essential for system maintenance?","MS Word","Photoshop","File Compression","Chrome","File Compression","Think about managing resources and maintenance."
q_106,"Health/Security","Which of the following is a cyber security threat?","Firewall","Antivirus","Backup","Virus","Virus","Threats are malicious software or attacks."
q_107,"Operating Systems","Which utility software is essential for system maintenance?","Photoshop","MS Word","Chrome","File Compression","File Compression","Think about managing resources and maintenance."
q_108,"Hardware","Which generation of computers is associated with Transistors (2nd Gen)?","Microprocessors (4th Gen)","Transistors (2nd Gen)","Integrated Circuits (3rd Gen)","Vacuum Tubes (1st Gen)","Transistors (2nd Gen)","Input devices send data INTO the computer."
q_109,"Health/Security","Which of the following is a cyber security threat?","Firewall","Software Piracy","Antivirus","Backup","Software Piracy","Threats are malicious software or attacks."
q_110,"Logic Gates","Which logic gate performs a Boolean logic operation?","SSD","NOT","USB","BIOS","NOT","Logic gates operate on TRUE/FALSE values."
q_111,"Networking","Which term is related to computer networking?","Printer","DNS","Monitor","Keyboard","DNS","It relates to connectivity or web addresses."
q_112,"Hardware","Which of the following is classified as an Input Device?","Speaker","Speaker","Plotter","Keyboard","Keyboard","Input devices send data INTO the computer."
q_113,"Databases","In a database, what does the term 'Form' refer to?","A database structural element","A network protocol","A web browser","A hardware port","A database structural element","Tables, records, keys and queries are database elements."
q_114,"Networking","Which term is related to computer networking?","Printer","Monitor","Client-Server","Keyboard","Client-Server","It relates to connectivity or web addresses."
q_115,"SDLC","Which of the following is a phase in the Systems Development Life Cycle?","Maintenance","Gaming","Data Entry","Printing","Maintenance","It is a step in building software."
q_116,"Web Development","Which HTML tag is used to define a large heading?","<h1>","<invalid>","{code}","[link]","<h1>","HTML tags start with < and end with >."
q_117,"SDLC","Which of the following is a phase in the Systems Development Life Cycle?","Data Entry","Printing","System Design","Gaming","System Design","It is a step in building software."
q_118,"Databases","In a database, what does the term 'Query' refer to?","A hardware port","A network protocol","A database structural element","A web browser","A database structural element","Tables, records, keys and queries are database elements."
q_119,"Programming (Pascal)","Which of the following is a reserved keyword in Pascal?","WiFi","Login","While..Do","System32","While..Do","It is part of Pascal language keywords."
q_120,"Programming (Pascal)","Identify the valid Pascal keyword from the options:","If..Then","System32","Login","WiFi","If..Then","It is part of Pascal language keywords."
q_121,"Hardware","Which generation of computers is associated with Transistors (2nd Gen)?","Transistors (2nd Gen)","Microprocessors (4th Gen)","Vacuum Tubes (1st Gen)","Integrated Circuits (3rd Gen)","Transistors (2nd Gen)","Input devices send data INTO the computer."
q_122,"Networking","Which term is related to computer networking?","TCP/IP","Printer","Keyboard","Monitor","TCP/IP","It relates to connectivity or web addresses."
q_123,"Web Development","Which HTML tag is used to create a table?","[link]","<table>","<invalid>","{code}","<table>","HTML tags start with < and end with >."
q_124,"Networking","Which term is related to computer networking?","Monitor","Printer","Keyboard","Cloud Computing","Cloud Computing","It relates to connectivity or web addresses."
q_125,"Programming (Pascal)","In Pascal syntax, which word has a special meaning?","If..Then","System32","Login","WiFi","If..Then","It is part of Pascal language keywords."
q_126,"Databases","In a database, what does the term 'Form' refer to?","A database structural element","A hardware port","A web browser","A network protocol","A database structural element","Tables, records, keys and queries are database elements."
q_127,"Programming (Pascal)","In Pascal syntax, which word has a special meaning?","WiFi","Var","System32","Login","Var","It is part of Pascal language keywords."
q_128,"Databases","In a database, what does the term 'Foreign Key' refer to?","A web browser","A database structural element","A network protocol","A hardware port","A database structural element","Tables, records, keys and queries are database elements."
q_129,"Logic Gates","Which logic gate performs a Boolean logic operation?","BIOS","AND","USB","SSD","AND","Logic gates operate on TRUE/FALSE values."
q_130,"Health/Security","Which of the following is a cyber security threat?","Virus","Antivirus","Backup","Firewall","Virus","Threats are malicious software or attacks."
q_131,"Logic Gates","Which logic gate performs a Boolean logic operation?","BIOS","USB","OR","SSD","OR","Logic gates operate on TRUE/FALSE values."
q_132,"Networking","Which term is related to computer networking?","Monitor","Keyboard","Client-Server","Printer","Client-Server","It relates to connectivity or web addresses."
q_133,"Programming (Pascal)","Which of the following is a reserved keyword in Pascal?","Char","System32","Login","WiFi","Char","It is part of Pascal language keywords."
q_134,"Data Representation","Which storage unit is valid and commonly used?","Pixel","Hertz","Volt","Megabyte (MB)","Megabyte (MB)","Think about file sizes (KB, MB, GB)."
q_135,"SDLC","Which of the following is a phase in the Systems Development Life Cycle?","Gaming","Testing & Debugging","Data Entry","Printing","Testing & Debugging","It is a step in building software."
q_136,"Logic Gates","Which logic gate performs a Boolean logic operation?","SSD","BIOS","OR","USB","OR","Logic gates operate on TRUE/FALSE values."
q_137,"Data Representation","Which standard is used for character encoding?","HTML","TCP/IP","HTTP","Unicode","Unicode","It maps characters to numbers."
q_138,"Legal/Ethical","Which Act in Sri Lanka governs aspects of ICT?","Electronic Transactions Act","Traffic Act","Forest Act","Housing Act","Electronic Transactions Act","Look for Computer/Electronic/Intellectual Property laws."
q_139,"SDLC","Which of the following is a phase in the Systems Development Life Cycle?","Data Entry","Maintenance","Printing","Gaming","Maintenance","It is a step in building software."
q_140,"Health/Security","Which of the following is a cyber security threat?","Firewall","Antivirus","Backup","Virus","Virus","Threats are malicious software or attacks."
q_141,"Databases","In a database, what does the term 'Form' refer to?","A web browser","A network protocol","A database structural element","A hardware port","A database structural element","Tables, records, keys and queries are database elements."
q_142,"SDLC","Which of the following is a phase in the Systems Development Life Cycle?","Data Entry","Printing","Gaming","System Design","System Design","It is a step in building software."
q_143,"Web Development","Which HTML tag is used to define the document body?","[link]","<body>","<invalid>","{code}","<body>","HTML tags start with < and end with >."
q_144,"ICT Applications","The term 'E-Government' is associated with which field?","ICT Applications","Networking","Data Representation","Logic Gates","ICT Applications","Think about how technology helps society."
q_145,"Legal/Ethical","Which Act in Sri Lanka governs aspects of ICT?","Traffic Act","Intellectual Property Act","Forest Act","Housing Act","Intellectual Property Act","Look for Computer/Electronic/Intellectual Property laws."
q_146,"SDLC","Which of the following is a phase in the Systems Development Life Cycle?","Printing","Gaming","Data Entry","Maintenance","Maintenance","It is a step in building software."
q_147,"SDLC","Which of the following is a phase in the Systems Development Life Cycle?","Implementation/Coding","Data Entry","Printing","Gaming","Implementation/Coding","It is a step in building software."
q_148,"Programming (Pascal)","In Pascal syntax, which word has a special meaning?","Login","End","System32","WiFi","End","It is part of Pascal language keywords."
q_149,"SDLC","Which of the following is a phase in the Systems Development Life Cycle?","Data Entry","Printing","Gaming","Implementation/Coding","Implementation/Coding","It is a step in building software."
q_150,"Operating Systems","What is a primary function of an Operating System?","Photo Editing","Memory Management","Emailing","Web Browsing","Memory Management","Think about managing resources and maintenance."
q_151,"Health/Security","Which of the following is a cyber security threat?","Antivirus","Backup","Firewall","Spam","Spam","Threats are malicious software or attacks."
q_152,"SDLC","Which of the following is a phase in the Systems Development Life Cycle?","Gaming","Deployment","Data Entry","Printing","Deployment","It is a step in building software."
q_153,"Data Representation","Which storage unit is valid and commonly used?","Bit","Hertz","Volt","Pixel","Bit","Think about file sizes (KB, MB, GB)."
q_154,"Databases","In a database, what does the term 'Field' refer to?","A database structural element","A hardware port","A network protocol","A web browser","A database structural element","Tables, records, keys and queries are database elements."
q_155,"Databases","In a database, what does the term 'Record' refer to?","A web browser","A hardware port","A network protocol","A database structural element","A database structural element","Tables, records, keys and queries are database elements."
q_156,"Legal/Ethical","Which Act in Sri Lanka governs aspects of ICT?","Traffic Act","Forest Act","Housing Act","Computer Crimes Act No. 24 of 2007","Computer Crimes Act No. 24 of 2007","Look for Computer/Electronic/Intellectual Property laws."
q_157,"Programming (Pascal)","Which of the following is a reserved keyword in Pascal?","Login","System32","WiFi","Program","Program","It is part of Pascal language keywords."
q_158,"Operating Systems","Which utility software is essential for system maintenance?","Chrome","Photoshop","Backup Software","MS Word","Backup Software","Think about managing resources and maintenance."
q_159,"ICT Applications","The term 'Online Banking' is associated with which field?","Networking","Data Representation","ICT Applications","Logic Gates","ICT Applications","Think about how technology helps society."
q_160,"Operating Systems","Which utility software is essential for system maintenance?","Chrome","MS Word","Photoshop","File Compression","File Compression","Think about managing resources and maintenance."
q_161,"Operating Systems","What is a primary function of an Operating System?","Emailing","Process Management","Photo Editing","Web Browsing","Process Management","Think about managing resources and maintenance."
q_162,"Health/Security","Which of the following is a cyber security threat?","Backup","Trojan Horse","Firewall","Antivirus","Trojan Horse","Threats are malicious software or attacks."
q_163,"Operating Systems","Which utility software is essential for system maintenance?","Photoshop","Disk Defragmenter","Chrome","MS Word","Disk Defragmenter","Think about managing resources and maintenance."
q_164,"Web Development","Which HTML tag is used to create a table?","[link]","<table>","<invalid>","{code}","<table>","HTML tags start with < and end with >."
q_165,"Programming (Pascal)","In Pascal syntax, which word has a special meaning?","Login","Begin","System32","WiFi","Begin","It is part of Pascal language keywords."
q_166,"Logic Gates","Which logic gate performs a Boolean logic operation?","USB","BIOS","NOT","SSD","NOT","Logic gates operate on TRUE/FALSE values."
q_167,"Data Representation","Which storage unit is valid and commonly used?","Volt","Hertz","Pixel","Byte","Byte","Think about file sizes (KB, MB, GB)."
q_168,"Logic Gates","Which logic gate performs a Boolean logic operation?","NOT","SSD","USB","BIOS","NOT","Logic gates operate on TRUE/FALSE values."
q_169,"Web Development","Which HTML tag is used to create a hyperlink?","{code}","[link]","<invalid>","<a>","<a>","HTML tags start with < and end with >."
q_170,"Legal/Ethical","Which Act in Sri Lanka governs aspects of ICT?","Forest Act","Electronic Transactions Act","Traffic Act","Housing Act","Electronic Transactions Act","Look for Computer/Electronic/Intellectual Property laws."
q_171,"Networking","Which term is related to computer networking?","Keyboard","Monitor","DNS","Printer","DNS","It relates to connectivity or web addresses."
q_172,"Health/Security","Which of the following is a cyber security threat?","Phishing","Antivirus","Backup","Firewall","Phishing","Threats are malicious software or attacks."
q_173,"SDLC","Which of the following is a phase in the Systems Development Life Cycle?","Printing","Gaming","Data Entry","Deployment","Deployment","It is a step in building software."
q_174,"Operating Systems","What is a primary function of an Operating System?","Web Browsing","Emailing","Memory Management","Photo Editing","Memory Management","Think about managing resources and maintenance."
q_175,"Operating Systems","What is a primary function of an Operating System?","Web Browsing","User Interface","Photo Editing","Emailing","User Interface","Think about managing resources and maintenance."
q_176,"Legal/Ethical","Which Act in Sri Lanka governs aspects of ICT?","Computer Crimes Act No. 24 of 2007","Traffic Act","Forest Act","Housing Act","Computer Crimes Act No. 24 of 2007","Look for Computer/Electronic/Intellectual Property laws."
q_177,"Programming (Pascal)","Which of the following is a reserved keyword in Pascal?","System32","Login","WiFi","Boolean","Boolean","It is part of Pascal language keywords."
q_178,"Databases","In a database, what does the term 'Report' refer to?","A database structural element","A hardware port","A network protocol","A web browser","A database structural element","Tables, records, keys and queries are database elements."
q_179,"Databases","In a database, what does the term 'Query' refer to?","A network protocol","A hardware port","A database structural element","A web browser","A database structural element","Tables, records, keys and queries are database elements."
q_180,"SDLC","Which of the following is a phase in the Systems Development Life Cycle?","Data Entry","Gaming","Requirement Identification","Printing","Requirement Identification","It is a step in building software."
q_181,"Networking","Which term is related to computer networking?","Monitor","URL","Printer","Keyboard","URL","It relates to connectivity or web addresses."
q_182,"Networking","Which term is related to computer networking?","Monitor","TCP/IP","Keyboard","Printer","TCP/IP","It relates to connectivity or web addresses."
q_183,"Operating Systems","Which utility software is essential for system maintenance?","Antivirus","Photoshop","Chrome","MS Word","Antivirus","Think about managing resources and maintenance."
q_184,"SDLC","Which of the following is a phase in the Systems Development Life Cycle?","Data Entry","Testing & Debugging","Printing","Gaming","Testing & Debugging","It is a step in building software."
q_185,"Logic Gates","Which logic gate performs a Boolean logic operation?","USB","SSD","NAND","BIOS","NAND","Logic gates operate on TRUE/FALSE values."
